date,store_code,store_name,store_type,city,category,traffic,transactions,units_sold,gross_sales,discount_amt,net_sales,avg_ticket
2026-04-21,MD01,명동본점,flagship,서울,기프트,792,7,9,684819,0,684819,97831
2026-04-21,MD01,명동본점,flagship,서울,립,792,13,16,216959,0,216959,16689
2026-04-21,MD01,명동본점,flagship,서울,마사지바,792,5,7,140040,0,140040,28008
2026-04-21,MD01,명동본점,flagship,서울,바디로션바,792,6,8,163303,0,163303,27217
2026-04-21,MD01,명동본점,flagship,서울,배쓰밤,792,54,64,903614,0,903614,16733
2026-04-21,MD01,명동본점,flagship,서울,비누,792,13,16,242607,28343,214264,16481
2026-04-21,MD01,명동본점,flagship,서울,샤워젤,792,6,9,172773,24249,148524,24754
2026-04-21,MD01,명동본점,flagship,서울,샴푸바,792,16,26,590736,0,590736,36921
2026-04-21,MD01,명동본점,flagship,서울,액세서리,792,4,6,55953,0,55953,13988
2026-04-21,MD01,명동본점,flagship,서울,페이스마스크,792,18,22,460129,0,460129,25562
2026-04-21,MD01,명동본점,flagship,서울,헤어,792,6,7,157936,0,157936,26322
2026-04-21,GN01,강남신세계,dept,서울,기프트,529,8,11,793914,0,793914,99239
2026-04-21,GN01,강남신세계,dept,서울,립,529,9,13,179605,0,179605,19956
2026-04-21,GN01,강남신세계,dept,서울,마사지바,529,6,7,145227,0,145227,24204
2026-04-21,GN01,강남신세계,dept,서울,바디로션바,529,7,10,213876,0,213876,30553
2026-04-21,GN01,강남신세계,dept,서울,배쓰밤,529,41,53,692125,0,692125,16881
2026-04-21,GN01,강남신세계,dept,서울,비누,529,8,10,151422,21777,129645,16205
2026-04-21,GN01,강남신세계,dept,서울,샤워젤,529,7,9,178088,21894,156194,22313
2026-04-21,GN01,강남신세계,dept,서울,샴푸바,529,9,13,291905,0,291905,32433
2026-04-21,GN01,강남신세계,dept,서울,액세서리,529,3,4,34989,0,34989,11663
2026-04-21,GN01,강남신세계,dept,서울,페이스마스크,529,20,24,492631,0,492631,24631
2026-04-21,GN01,강남신세계,dept,서울,헤어,529,5,7,163219,0,163219,32643
2026-04-21,HD01,홍대,street,서울,기프트,436,4,5,389175,0,389175,97293
2026-04-21,HD01,홍대,street,서울,립,436,5,7,97405,0,97405,19481
2026-04-21,HD01,홍대,street,서울,마사지바,436,3,4,80737,0,80737,26912
2026-04-21,HD01,홍대,street,서울,바디로션바,436,3,5,108946,0,108946,36315
2026-04-21,HD01,홍대,street,서울,배쓰밤,436,16,20,285306,0,285306,17831
2026-04-21,HD01,홍대,street,서울,비누,436,7,10,146580,15778,130802,18686
2026-04-21,HD01,홍대,street,서울,샤워젤,436,5,7,133403,13344,120059,24011
2026-04-21,HD01,홍대,street,서울,샴푸바,436,5,8,190968,0,190968,38193
2026-04-21,HD01,홍대,street,서울,액세서리,436,2,2,18680,0,18680,9340
2026-04-21,HD01,홍대,street,서울,페이스마스크,436,8,11,226311,0,226311,28288
2026-04-21,HD01,홍대,street,서울,헤어,436,4,5,117209,0,117209,29302
2026-04-21,JS01,잠실롯데,dept,서울,기프트,529,7,9,649719,0,649719,92817
2026-04-21,JS01,잠실롯데,dept,서울,립,529,9,11,147502,0,147502,16389
2026-04-21,JS01,잠실롯데,dept,서울,마사지바,529,8,11,231406,0,231406,28925
2026-04-21,JS01,잠실롯데,dept,서울,바디로션바,529,3,4,84741,0,84741,28247
2026-04-21,JS01,잠실롯데,dept,서울,배쓰밤,529,23,28,388629,0,388629,16896
2026-04-21,JS01,잠실롯데,dept,서울,비누,529,9,14,194288,21740,172548,19172
2026-04-21,JS01,잠실롯데,dept,서울,샤워젤,529,7,8,158619,20390,138229,19747
2026-04-21,JS01,잠실롯데,dept,서울,샴푸바,529,11,17,378895,0,378895,34445
2026-04-21,JS01,잠실롯데,dept,서울,액세서리,529,2,2,17940,0,17940,8970
2026-04-21,JS01,잠실롯데,dept,서울,페이스마스크,529,17,28,577824,0,577824,33989
2026-04-21,JS01,잠실롯데,dept,서울,헤어,529,5,8,183274,0,183274,36654
2026-04-21,YD01,여의도IFC,mall,서울,기프트,342,3,4,289894,0,289894,96631
2026-04-21,YD01,여의도IFC,mall,서울,립,342,5,8,109883,0,109883,21976
2026-04-21,YD01,여의도IFC,mall,서울,마사지바,342,2,3,65954,0,65954,32977
2026-04-21,YD01,여의도IFC,mall,서울,바디로션바,342,3,3,62909,0,62909,20969
2026-04-21,YD01,여의도IFC,mall,서울,배쓰밤,342,13,15,203012,0,203012,15616
2026-04-21,YD01,여의도IFC,mall,서울,비누,342,6,9,129912,15738,114174,19029
2026-04-21,YD01,여의도IFC,mall,서울,샤워젤,342,5,7,135904,14642,121262,24252
2026-04-21,YD01,여의도IFC,mall,서울,샴푸바,342,5,7,161679,0,161679,32335
2026-04-21,YD01,여의도IFC,mall,서울,액세서리,342,1,1,9002,0,9002,9002
2026-04-21,YD01,여의도IFC,mall,서울,페이스마스크,342,7,11,226569,0,226569,32367
2026-04-21,YD01,여의도IFC,mall,서울,헤어,342,2,3,68633,0,68633,34316
2026-04-21,CE01,코엑스,mall,서울,기프트,393,4,5,376103,0,376103,94025
2026-04-21,CE01,코엑스,mall,서울,립,393,4,5,71303,0,71303,17825
2026-04-21,CE01,코엑스,mall,서울,마사지바,393,3,3,62343,0,62343,20781
2026-04-21,CE01,코엑스,mall,서울,바디로션바,393,3,4,86115,0,86115,28705
2026-04-21,CE01,코엑스,mall,서울,배쓰밤,393,13,22,316352,0,316352,24334
2026-04-21,CE01,코엑스,mall,서울,비누,393,3,3,45384,6537,38847,12949
2026-04-21,CE01,코엑스,mall,서울,샤워젤,393,4,5,98170,13270,84900,21225
2026-04-21,CE01,코엑스,mall,서울,샴푸바,393,7,10,218679,0,218679,31239
2026-04-21,CE01,코엑스,mall,서울,액세서리,393,1,1,9395,0,9395,9395
2026-04-21,CE01,코엑스,mall,서울,페이스마스크,393,5,6,129686,0,129686,25937
2026-04-21,CE01,코엑스,mall,서울,헤어,393,3,4,91213,0,91213,30404
2026-04-21,HN01,스타필드하남,mall,경기,기프트,484,5,8,615248,0,615248,123049
2026-04-21,HN01,스타필드하남,mall,경기,립,484,6,8,103905,0,103905,17317
2026-04-21,HN01,스타필드하남,mall,경기,마사지바,484,6,7,150546,0,150546,25091
2026-04-21,HN01,스타필드하남,mall,경기,바디로션바,484,4,4,80432,0,80432,20108
2026-04-21,HN01,스타필드하남,mall,경기,배쓰밤,484,37,54,764553,0,764553,20663
2026-04-21,HN01,스타필드하남,mall,경기,비누,484,8,10,142219,20614,121605,15200
2026-04-21,HN01,스타필드하남,mall,경기,샤워젤,484,8,13,239838,26976,212862,26607
2026-04-21,HN01,스타필드하남,mall,경기,샴푸바,484,8,13,296200,0,296200,37025
2026-04-21,HN01,스타필드하남,mall,경기,액세서리,484,2,3,27984,0,27984,13992
2026-04-21,HN01,스타필드하남,mall,경기,페이스마스크,484,16,26,532435,0,532435,33277
2026-04-21,HN01,스타필드하남,mall,경기,헤어,484,6,9,217892,0,217892,36315
2026-04-21,PG01,현대판교,dept,경기,기프트,451,7,11,785621,0,785621,112231
2026-04-21,PG01,현대판교,dept,경기,립,451,10,13,183291,0,183291,18329
2026-04-21,PG01,현대판교,dept,경기,마사지바,451,5,7,142995,0,142995,28599
2026-04-21,PG01,현대판교,dept,경기,바디로션바,451,3,4,87060,0,87060,29020
2026-04-21,PG01,현대판교,dept,경기,배쓰밤,451,33,50,678127,0,678127,20549
2026-04-21,PG01,현대판교,dept,경기,비누,451,11,18,250960,37272,213688,19426
2026-04-21,PG01,현대판교,dept,경기,샤워젤,451,6,7,127791,15555,112236,18706
2026-04-21,PG01,현대판교,dept,경기,샴푸바,451,10,15,345394,0,345394,34539
2026-04-21,PG01,현대판교,dept,경기,액세서리,451,2,2,18375,0,18375,9187
2026-04-21,PG01,현대판교,dept,경기,페이스마스크,451,11,16,351548,0,351548,31958
2026-04-21,PG01,현대판교,dept,경기,헤어,451,7,9,202404,0,202404,28914
2026-04-21,BS01,신세계센텀,dept,부산,기프트,356,3,4,303867,0,303867,101289
2026-04-21,BS01,신세계센텀,dept,부산,립,356,4,5,67666,0,67666,16916
2026-04-21,BS01,신세계센텀,dept,부산,마사지바,356,3,4,87699,0,87699,29233
2026-04-21,BS01,신세계센텀,dept,부산,바디로션바,356,4,6,123491,0,123491,30872
2026-04-21,BS01,신세계센텀,dept,부산,배쓰밤,356,16,21,285682,0,285682,17855
2026-04-21,BS01,신세계센텀,dept,부산,비누,356,6,8,115329,12765,102564,17094
2026-04-21,BS01,신세계센텀,dept,부산,샤워젤,356,5,7,128606,13405,115201,23040
2026-04-21,BS01,신세계센텀,dept,부산,샴푸바,356,6,8,189858,0,189858,31643
2026-04-21,BS01,신세계센텀,dept,부산,액세서리,356,2,2,17458,0,17458,8729
2026-04-21,BS01,신세계센텀,dept,부산,페이스마스크,356,6,8,178015,0,178015,29669
2026-04-21,BS01,신세계센텀,dept,부산,헤어,356,2,3,68345,0,68345,34172
2026-04-21,DG01,현대대구,dept,대구,기프트,273,2,3,211973,0,211973,105986
2026-04-21,DG01,현대대구,dept,대구,립,273,4,5,67821,0,67821,16955
2026-04-21,DG01,현대대구,dept,대구,마사지바,273,2,2,40110,0,40110,20055
2026-04-21,DG01,현대대구,dept,대구,바디로션바,273,2,2,43265,0,43265,21632
2026-04-21,DG01,현대대구,dept,대구,배쓰밤,273,16,23,329280,0,329280,20580
2026-04-21,DG01,현대대구,dept,대구,비누,273,5,7,101548,14371,87177,17435
2026-04-21,DG01,현대대구,dept,대구,샤워젤,273,3,4,75807,8563,67244,22414
2026-04-21,DG01,현대대구,dept,대구,샴푸바,273,4,6,138293,0,138293,34573
2026-04-21,DG01,현대대구,dept,대구,액세서리,273,1,1,8807,0,8807,8807
2026-04-21,DG01,현대대구,dept,대구,페이스마스크,273,5,7,145057,0,145057,29011
2026-04-21,DG01,현대대구,dept,대구,헤어,273,2,3,67427,0,67427,33713
2026-04-22,MD01,명동본점,flagship,서울,기프트,804,10,13,958616,0,958616,95861
2026-04-22,MD01,명동본점,flagship,서울,립,804,14,21,297238,0,297238,21231
2026-04-22,MD01,명동본점,flagship,서울,마사지바,804,9,10,206886,0,206886,22987
2026-04-22,MD01,명동본점,flagship,서울,바디로션바,804,8,13,270789,0,270789,33848
2026-04-22,MD01,명동본점,flagship,서울,배쓰밤,804,55,82,1092005,0,1092005,19854
2026-04-22,MD01,명동본점,flagship,서울,비누,804,10,12,171148,22926,148222,14822
2026-04-22,MD01,명동본점,flagship,서울,샤워젤,804,8,11,201217,26382,174835,21854
2026-04-22,MD01,명동본점,flagship,서울,샴푸바,804,10,14,306772,0,306772,30677
2026-04-22,MD01,명동본점,flagship,서울,액세서리,804,4,5,42976,0,42976,10744
