voc_id,date,channel,type,store_code,store_name,sku_mentioned,to_team,sla_hours,response_hours,status,summary
VOC-20260421-0001,2026-04-21,전화,칭찬,DG01,현대대구,,VOC_리워드,24,14.3,완료,[칭찬] 제품만족 - 현대대구
VOC-20260421-0002,2026-04-21,전화,제품문의,,,,CE팀_제품지식,6,14.5,지연완료,[제품문의] 사용법
VOC-20260421-0003,2026-04-21,전화,제품문의,,,SB003,CE팀_제품지식,6,0.6,완료,[제품문의] 피부타입 (재스민 앤 헤나 풀룬덤 샴푸바)
VOC-20260421-0004,2026-04-21,자사몰_게시판,배송문의,,,,물류팀,4,1.9,완료,[배송문의] 오배송
VOC-20260421-0005,2026-04-21,전화,배송문의,,,,물류팀,4,3.4,완료,[배송문의] 추적 문의
VOC-20260421-0006,2026-04-21,인스타DM,교환환불,,,MB003,CE팀_교환,8,5.9,완료,[교환환불] 단순변심 (마사지바 틴 케이스)
VOC-20260421-0007,2026-04-21,채널톡,불만,JS01,잠실롯데,,CE팀_매장,6,4.7,완료,[불만] 대기시간 - 잠실롯데
VOC-20260421-0008,2026-04-21,카카오톡,배송문의,,,,물류팀,4,1.4,완료,[배송문의] 오배송
VOC-20260421-0009,2026-04-21,카카오톡,제품문의,,,BD003,CE팀_제품지식,6,3.5,완료,[제품문의] 사용법 (샌드 비누)
VOC-20260421-0010,2026-04-21,채널톡,제품문의,,,,CE팀_제품지식,6,3.4,완료,[제품문의] 성분
VOC-20260421-0011,2026-04-21,자사몰_게시판,매장문의,BS01,신세계센텀,,리테일본부,12,24.8,지연완료,[매장문의] 이벤트 일정 - 신세계센텀
VOC-20260421-0012,2026-04-21,채널톡,배송문의,,,,물류팀,4,3.5,완료,[배송문의] 배송 늦음
VOC-20260421-0013,2026-04-21,채널톡,불만,HN01,스타필드하남,,CE팀_매장,6,3.3,완료,[불만] 대기시간 - 스타필드하남
VOC-20260421-0014,2026-04-21,인스타DM,배송문의,,,,물류팀,4,0.9,완료,[배송문의] 추적 문의
VOC-20260421-0015,2026-04-21,카카오톡,불만,HN01,스타필드하남,,CE팀_매장,6,5.4,완료,[불만] 직원불친절 - 스타필드하남
VOC-20260421-0016,2026-04-21,전화,배송문의,,,,물류팀,4,2.5,완료,[배송문의] 배송 늦음
VOC-20260421-0017,2026-04-21,자사몰_게시판,교환환불,,,BD001,CE팀_교환,8,3.5,완료,[교환환불] 사이즈 (샤워젤리 위치 어메이징)
VOC-20260421-0018,2026-04-21,카카오톡,불만,CE01,코엑스,,CE팀_매장,6,2.0,완료,[불만] 직원불친절 - 코엑스
VOC-20260421-0019,2026-04-21,채널톡,칭찬,MD01,명동본점,SB001,VOC_리워드,24,6.4,완료,[칭찬] 직원응대 - 명동본점 (허니 아이 워시드 더 키즈 샴푸바)
VOC-20260421-0020,2026-04-21,채널톡,배송문의,,,,물류팀,4,1.0,완료,[배송문의] 추적 문의
VOC-20260421-0021,2026-04-21,채널톡,칭찬,HD01,홍대,BB005,VOC_리워드,24,22.6,완료,[칭찬] 제품만족 - 홍대 (어머 사쿠라 배쓰밤)
VOC-20260421-0022,2026-04-21,인스타DM,배송문의,,,,물류팀,4,3.5,완료,[배송문의] 배송 늦음
VOC-20260421-0023,2026-04-21,인스타DM,제품문의,,,GS002,CE팀_제품지식,6,5.5,완료,[제품문의] 사용법 (기프트 세트 - 핑크 클라우드)
VOC-20260421-0024,2026-04-21,카카오톡,제품문의,,,MB002,CE팀_제품지식,6,5.1,완료,[제품문의] 성분 (더 컴포터 마사지바)
VOC-20260421-0025,2026-04-21,인스타DM,칭찬,YD01,여의도IFC,BB001,VOC_리워드,24,2.5,완료,[칭찬] 제품만족 - 여의도IFC (인터갤럭틱 배쓰밤)
VOC-20260421-0026,2026-04-21,인스타DM,매장문의,JS01,잠실롯데,,리테일본부,12,18.4,지연완료,[매장문의] 재고 - 잠실롯데
VOC-20260421-0027,2026-04-21,자사몰_게시판,제품문의,,,,CE팀_제품지식,6,5.7,완료,[제품문의] 사용법
VOC-20260421-0028,2026-04-21,카카오톡,매장문의,HD01,홍대,,리테일본부,12,24.4,지연완료,[매장문의] 재고 - 홍대
VOC-20260421-0029,2026-04-21,카카오톡,교환환불,,,,CE팀_교환,8,3.3,완료,[교환환불] 단순변심
VOC-20260421-0030,2026-04-21,카카오톡,칭찬,YD01,여의도IFC,,VOC_리워드,24,47.3,지연완료,[칭찬] 제품만족 - 여의도IFC
VOC-20260421-0031,2026-04-21,채널톡,교환환불,,,,CE팀_교환,8,2.6,완료,[교환환불] 사이즈
VOC-20260421-0032,2026-04-21,카카오톡,배송문의,,,,물류팀,4,,미회신,[배송문의] 배송 늦음
VOC-20260421-0033,2026-04-21,자사몰_게시판,포장오류,,,,물류팀,4,2.4,완료,[포장오류] 찌그러짐
VOC-20260421-0034,2026-04-21,인스타DM,배송문의,,,,물류팀,4,8.9,지연완료,[배송문의] 추적 문의
VOC-20260421-0035,2026-04-21,채널톡,제품문의,,,,CE팀_제품지식,6,1.3,완료,[제품문의] 사용법
VOC-20260421-0036,2026-04-21,자사몰_게시판,매장문의,HN01,스타필드하남,,리테일본부,12,23.4,지연완료,[매장문의] 매장위치 - 스타필드하남
VOC-20260421-0037,2026-04-21,인스타DM,배송문의,,,,물류팀,4,0.6,완료,[배송문의] 오배송
VOC-20260421-0038,2026-04-21,자사몰_게시판,교환환불,,,BB004,CE팀_교환,8,5.5,완료,[교환환불] 사이즈 (베리 베리 체리 배쓰밤)
VOC-20260421-0039,2026-04-21,인스타DM,교환환불,,,LP001,CE팀_교환,8,6.6,완료,[교환환불] 단순변심 (립 스크럽 바블검)
VOC-20260421-0040,2026-04-21,채널톡,제품문의,,,MB002,CE팀_제품지식,6,5.0,완료,[제품문의] 피부타입 (더 컴포터 마사지바)
VOC-20260421-0041,2026-04-21,채널톡,교환환불,,,FM003,CE팀_교환,8,7.6,완료,[교환환불] 하자 (캐치 어 스타 페이스 마스크)
VOC-20260421-0042,2026-04-21,자사몰_게시판,포장오류,,,,물류팀,4,10.0,지연완료,[포장오류] 누액
VOC-20260421-0043,2026-04-21,채널톡,제품문의,,,MB001,CE팀_제품지식,6,4.3,완료,[제품문의] 성분 (씬티앙 마사지바)
VOC-20260421-0044,2026-04-21,채널톡,매장문의,MD01,명동본점,,리테일본부,12,8.6,완료,[매장문의] 재고 - 명동본점
VOC-20260421-0045,2026-04-21,채널톡,제품문의,,,GS001,CE팀_제품지식,6,3.1,완료,[제품문의] 성분 (기프트 세트 - 바스타임)
VOC-20260421-0046,2026-04-21,전화,배송문의,,,,물류팀,4,5.5,지연완료,[배송문의] 추적 문의
VOC-20260422-0047,2026-04-22,카카오톡,칭찬,MD01,명동본점,GS003,VOC_리워드,24,21.4,완료,[칭찬] 직원응대 - 명동본점 (기프트 세트 - 어머니날 한정)
VOC-20260422-0048,2026-04-22,카카오톡,배송문의,,,,물류팀,4,2.1,완료,[배송문의] 추적 문의
VOC-20260422-0049,2026-04-22,자사몰_게시판,교환환불,,,GS001,CE팀_교환,8,5.0,완료,[교환환불] 하자 (기프트 세트 - 바스타임)
VOC-20260422-0050,2026-04-22,인스타DM,매장문의,DG01,현대대구,,리테일본부,12,29.8,지연완료,[매장문의] 재고 - 현대대구
VOC-20260422-0051,2026-04-22,채널톡,교환환불,,,BD004,CE팀_교환,8,4.2,완료,[교환환불] 사이즈 (로션 바 더 컴포터)
VOC-20260422-0052,2026-04-22,전화,배송문의,,,,물류팀,4,1.9,완료,[배송문의] 배송 늦음
VOC-20260422-0053,2026-04-22,카카오톡,매장문의,MD01,명동본점,,리테일본부,12,2.3,완료,[매장문의] 이벤트 일정 - 명동본점
VOC-20260422-0054,2026-04-22,자사몰_게시판,매장문의,PG01,현대판교,,리테일본부,12,5.6,완료,[매장문의] 매장위치 - 현대판교
VOC-20260422-0055,2026-04-22,전화,배송문의,,,,물류팀,4,1.9,완료,[배송문의] 배송 늦음
VOC-20260422-0056,2026-04-22,전화,매장문의,PG01,현대판교,,리테일본부,12,15.8,지연완료,[매장문의] 이벤트 일정 - 현대판교
VOC-20260422-0057,2026-04-22,인스타DM,교환환불,,,LP002,CE팀_교환,8,1.4,완료,[교환환불] 단순변심 (립 스크럽 미스터 펭귄)
VOC-20260422-0058,2026-04-22,채널톡,배송문의,,,,물류팀,4,7.5,지연완료,[배송문의] 배송 늦음
VOC-20260422-0059,2026-04-22,인스타DM,매장문의,BS01,신세계센텀,,리테일본부,12,8.4,완료,[매장문의] 매장위치 - 신세계센텀
VOC-20260422-0060,2026-04-22,자사몰_게시판,칭찬,BS01,신세계센텀,SB001,VOC_리워드,24,15.4,완료,[칭찬] 직원응대 - 신세계센텀 (허니 아이 워시드 더 키즈 샴푸바)
VOC-20260422-0061,2026-04-22,전화,칭찬,HD01,홍대,BB004,VOC_리워드,24,1.3,완료,[칭찬] 제품만족 - 홍대 (베리 베리 체리 배쓰밤)
VOC-20260422-0062,2026-04-22,카카오톡,교환환불,,,,CE팀_교환,8,,미회신,[교환환불] 사이즈
VOC-20260422-0063,2026-04-22,인스타DM,매장문의,GN01,강남신세계,,리테일본부,12,8.0,완료,[매장문의] 이벤트 일정 - 강남신세계
VOC-20260422-0064,2026-04-22,카카오톡,매장문의,HD01,홍대,,리테일본부,12,1.1,완료,[매장문의] 매장위치 - 홍대
VOC-20260422-0065,2026-04-22,자사몰_게시판,포장오류,,,,물류팀,4,0.5,완료,[포장오류] 찌그러짐
VOC-20260422-0066,2026-04-22,자사몰_게시판,제품문의,,,,CE팀_제품지식,6,12.0,지연완료,[제품문의] 사용법
VOC-20260422-0067,2026-04-22,자사몰_게시판,포장오류,,,,물류팀,4,2.8,완료,[포장오류] 구성품 누락
VOC-20260422-0068,2026-04-22,채널톡,배송문의,,,,물류팀,4,1.5,완료,[배송문의] 배송 늦음
VOC-20260422-0069,2026-04-22,인스타DM,제품문의,,,FM003,CE팀_제품지식,6,4.7,완료,[제품문의] 성분 (캐치 어 스타 페이스 마스크)
VOC-20260422-0070,2026-04-22,인스타DM,배송문의,,,,물류팀,4,3.5,완료,[배송문의] 추적 문의
VOC-20260422-0071,2026-04-22,전화,교환환불,,,MB002,CE팀_교환,8,6.1,완료,[교환환불] 하자 (더 컴포터 마사지바)
VOC-20260422-0072,2026-04-22,채널톡,배송문의,,,,물류팀,4,0.8,완료,[배송문의] 오배송
VOC-20260422-0073,2026-04-22,카카오톡,칭찬,HN01,스타필드하남,BB005,VOC_리워드,24,18.8,완료,[칭찬] 직원응대 - 스타필드하남 (어머 사쿠라 배쓰밤)
VOC-20260422-0074,2026-04-22,자사몰_게시판,제품문의,,,MB003,CE팀_제품지식,6,4.5,완료,[제품문의] 피부타입 (마사지바 틴 케이스)
VOC-20260422-0075,2026-04-22,자사몰_게시판,매장문의,PG01,현대판교,,리테일본부,12,18.7,지연완료,[매장문의] 이벤트 일정 - 현대판교
VOC-20260422-0076,2026-04-22,채널톡,제품문의,,,LP003,CE팀_제품지식,6,2.4,완료,[제품문의] 피부타입 (립 밤 허니 트랩)
VOC-20260422-0077,2026-04-22,자사몰_게시판,포장오류,,,,물류팀,4,1.2,완료,[포장오류] 누액
VOC-20260422-0078,2026-04-22,인스타DM,매장문의,HN01,스타필드하남,,리테일본부,12,9.7,완료,[매장문의] 매장위치 - 스타필드하남
VOC-20260422-0079,2026-04-22,채널톡,매장문의,PG01,현대판교,,리테일본부,12,4.4,완료,[매장문의] 매장위치 - 현대판교
VOC-20260422-0080,2026-04-22,인스타DM,배송문의,,,,물류팀,4,7.0,지연완료,[배송문의] 추적 문의
VOC-20260422-0081,2026-04-22,자사몰_게시판,제품문의,,,,CE팀_제품지식,6,3.0,완료,[제품문의] 성분
VOC-20260422-0082,2026-04-22,인스타DM,제품문의,,,SB003,CE팀_제품지식,6,4.5,완료,[제품문의] 성분 (재스민 앤 헤나 풀룬덤 샴푸바)
VOC-20260422-0083,2026-04-22,자사몰_게시판,포장오류,,,,물류팀,4,1.6,완료,[포장오류] 누액
VOC-20260422-0084,2026-04-22,카카오톡,배송문의,,,,물류팀,4,1.6,완료,[배송문의] 추적 문의
VOC-20260422-0085,2026-04-22,인스타DM,교환환불,,,,CE팀_교환,8,10.9,지연완료,[교환환불] 단순변심
VOC-20260422-0086,2026-04-22,자사몰_게시판,제품문의,,,BB005,CE팀_제품지식,6,3.9,완료,[제품문의] 성분 (어머 사쿠라 배쓰밤)
VOC-20260422-0087,2026-04-22,카카오톡,제품문의,,,HR002,CE팀_제품지식,6,2.3,완료,[제품문의] 사용법 (프로 컨디셔너 바 에이브리 후이)
VOC-20260422-0088,2026-04-22,전화,제품문의,,,BD003,CE팀_제품지식,6,5.1,완료,[제품문의] 사용법 (샌드 비누)
VOC-20260422-0089,2026-04-22,전화,교환환불,,,HR001,CE팀_교환,8,6.2,완료,[교환환불] 하자 (헨 헤어 헤나 카라멜)
VOC-20260422-0090,2026-04-22,인스타DM,교환환불,,,BB002,CE팀_교환,8,6.0,완료,[교환환불] 단순변심 (트와일라잇 배쓰밤)
VOC-20260422-0091,2026-04-22,자사몰_게시판,제품문의,,,LP003,CE팀_제품지식,6,11.7,지연완료,[제품문의] 피부타입 (립 밤 허니 트랩)
VOC-20260423-0092,2026-04-23,인스타DM,배송문의,,,,물류팀,4,7.7,지연완료,[배송문의] 배송 늦음
VOC-20260423-0093,2026-04-23,전화,제품문의,,,GS001,CE팀_제품지식,6,2.8,완료,[제품문의] 피부타입 (기프트 세트 - 바스타임)
VOC-20260423-0094,2026-04-23,전화,칭찬,PG01,현대판교,,VOC_리워드,24,4.0,완료,[칭찬] 직원응대 - 현대판교
VOC-20260423-0095,2026-04-23,카카오톡,배송문의,,,,물류팀,4,1.4,완료,[배송문의] 배송 늦음
VOC-20260423-0096,2026-04-23,자사몰_게시판,칭찬,HD01,홍대,SB002,VOC_리워드,24,16.2,완료,[칭찬] 제품만족 - 홍대 (시앤스 샴푸바)
VOC-20260423-0097,2026-04-23,카카오톡,배송문의,,,,물류팀,4,3.3,완료,[배송문의] 오배송
VOC-20260423-0098,2026-04-23,자사몰_게시판,교환환불,,,,CE팀_교환,8,1.7,완료,[교환환불] 사이즈
VOC-20260423-0099,2026-04-23,채널톡,칭찬,CE01,코엑스,MB001,VOC_리워드,24,40.0,지연완료,[칭찬] 제품만족 - 코엑스 (씬티앙 마사지바)
VOC-20260423-0100,2026-04-23,자사몰_게시판,배송문의,,,,물류팀,4,1.9,완료,[배송문의] 추적 문의
VOC-20260423-0101,2026-04-23,전화,칭찬,HD01,홍대,SB001,VOC_리워드,24,22.7,완료,[칭찬] 직원응대 - 홍대 (허니 아이 워시드 더 키즈 샴푸바)
VOC-20260423-0102,2026-04-23,인스타DM,배송문의,,,,물류팀,4,5.9,지연완료,[배송문의] 오배송
VOC-20260423-0103,2026-04-23,카카오톡,포장오류,,,,물류팀,4,2.3,완료,[포장오류] 누액
VOC-20260423-0104,2026-04-23,카카오톡,칭찬,MD01,명동본점,,VOC_리워드,24,29.1,지연완료,[칭찬] 직원응대 - 명동본점
VOC-20260423-0105,2026-04-23,카카오톡,칭찬,MD01,명동본점,,VOC_리워드,24,4.9,완료,[칭찬] 직원응대 - 명동본점
VOC-20260423-0106,2026-04-23,카카오톡,배송문의,,,,물류팀,4,2.4,완료,[배송문의] 배송 늦음
VOC-20260423-0107,2026-04-23,전화,교환환불,,,,CE팀_교환,8,2.2,완료,[교환환불] 단순변심
VOC-20260423-0108,2026-04-23,채널톡,불만,MD01,명동본점,,CE팀_매장,6,4.4,완료,[불만] 직원불친절 - 명동본점
VOC-20260423-0109,2026-04-23,전화,칭찬,DG01,현대대구,,VOC_리워드,24,44.9,지연완료,[칭찬] 직원응대 - 현대대구
VOC-20260423-0110,2026-04-23,카카오톡,매장문의,JS01,잠실롯데,,리테일본부,12,8.1,완료,[매장문의] 재고 - 잠실롯데
VOC-20260423-0111,2026-04-23,채널톡,교환환불,,,BD002,CE팀_교환,8,3.3,완료,[교환환불] 하자 (락 스타 솝)
VOC-20260423-0112,2026-04-23,카카오톡,불만,DG01,현대대구,,CE팀_매장,6,7.1,지연완료,[불만] 대기시간 - 현대대구
VOC-20260423-0113,2026-04-23,인스타DM,제품문의,,,SB001,CE팀_제품지식,6,1.4,완료,[제품문의] 성분 (허니 아이 워시드 더 키즈 샴푸바)
VOC-20260423-0114,2026-04-23,채널톡,교환환불,,,GS001,CE팀_교환,8,3.2,완료,[교환환불] 사이즈 (기프트 세트 - 바스타임)
VOC-20260423-0115,2026-04-23,카카오톡,칭찬,HN01,스타필드하남,BB001,VOC_리워드,24,11.5,완료,[칭찬] 직원응대 - 스타필드하남 (인터갤럭틱 배쓰밤)
VOC-20260423-0116,2026-04-23,전화,배송문의,,,,물류팀,4,2.7,완료,[배송문의] 배송 늦음
VOC-20260423-0117,2026-04-23,인스타DM,교환환불,,,GS002,CE팀_교환,8,3.1,완료,[교환환불] 단순변심 (기프트 세트 - 핑크 클라우드)
VOC-20260423-0118,2026-04-23,자사몰_게시판,교환환불,,,BD001,CE팀_교환,8,0.7,완료,[교환환불] 하자 (샤워젤리 위치 어메이징)
VOC-20260423-0119,2026-04-23,인스타DM,불만,JS01,잠실롯데,,CE팀_매장,6,0.5,완료,[불만] 직원불친절 - 잠실롯데
VOC-20260423-0120,2026-04-23,인스타DM,배송문의,,,,물류팀,4,9.5,지연완료,[배송문의] 배송 늦음
VOC-20260423-0121,2026-04-23,인스타DM,배송문의,,,,물류팀,4,5.7,지연완료,[배송문의] 추적 문의
VOC-20260423-0122,2026-04-23,전화,매장문의,MD01,명동본점,,리테일본부,12,4.9,완료,[매장문의] 이벤트 일정 - 명동본점
VOC-20260423-0123,2026-04-23,자사몰_게시판,제품문의,,,,CE팀_제품지식,6,4.4,완료,[제품문의] 사용법
VOC-20260423-0124,2026-04-23,채널톡,포장오류,,,,물류팀,4,1.0,완료,[포장오류] 구성품 누락
VOC-20260423-0125,2026-04-23,자사몰_게시판,배송문의,,,,물류팀,4,2.9,완료,[배송문의] 배송 늦음
VOC-20260423-0126,2026-04-23,자사몰_게시판,배송문의,,,,물류팀,4,5.9,지연완료,[배송문의] 추적 문의
