date,advertiser_id,campaign,channel,channel_kind,ad_group,impressions,clicks,spend_krw,mql
2026-05-01,ADV-ADOBE,Adobe Creative Cloud B2B,구글_검색,global,브랜드_키워드,18629,163,147604,8
2026-05-01,ADV-ADOBE,Adobe Creative Cloud B2B,구글_검색,global,솔루션_키워드,8950,82,84871,3
2026-05-01,ADV-ADOBE,Adobe Creative Cloud B2B,구글_검색,global,경쟁사_키워드,21190,187,189102,7
2026-05-01,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_검색광고,domestic,브랜드_키워드,22493,189,172886,9
2026-05-01,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_검색광고,domestic,일반_키워드,10208,92,88267,4
2026-05-01,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_검색광고,domestic,경쟁사_키워드,13257,122,97462,6
2026-05-01,ADV-ADOBE,Adobe Creative Cloud B2B,메타_리드,global,리드폼_A,28821,245,214713,13
2026-05-01,ADV-ADOBE,Adobe Creative Cloud B2B,메타_리드,global,리드폼_B,16137,141,140715,6
2026-05-01,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_GFA,domestic,리타겟팅,20780,192,159415,7
2026-05-01,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_GFA,domestic,관심사_타겟,11681,116,107424,5
2026-05-02,ADV-ADOBE,Adobe Creative Cloud B2B,구글_검색,global,브랜드_키워드,6017,49,43510,2
2026-05-02,ADV-ADOBE,Adobe Creative Cloud B2B,구글_검색,global,솔루션_키워드,9083,87,79395,3
2026-05-02,ADV-ADOBE,Adobe Creative Cloud B2B,구글_검색,global,경쟁사_키워드,11168,95,87943,3
2026-05-02,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_검색광고,domestic,브랜드_키워드,6371,56,53987,2
2026-05-02,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_검색광고,domestic,일반_키워드,5474,55,47603,2
2026-05-02,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_검색광고,domestic,경쟁사_키워드,8995,85,78322,4
2026-05-02,ADV-ADOBE,Adobe Creative Cloud B2B,메타_리드,global,리드폼_A,10856,104,90353,3
2026-05-02,ADV-ADOBE,Adobe Creative Cloud B2B,메타_리드,global,리드폼_B,9739,92,76531,4
2026-05-02,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_GFA,domestic,리타겟팅,5566,49,41761,2
2026-05-02,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_GFA,domestic,관심사_타겟,14556,132,102880,6
2026-05-03,ADV-ADOBE,Adobe Creative Cloud B2B,구글_검색,global,브랜드_키워드,8375,69,67558,2
2026-05-03,ADV-ADOBE,Adobe Creative Cloud B2B,구글_검색,global,솔루션_키워드,9431,93,95760,4
2026-05-03,ADV-ADOBE,Adobe Creative Cloud B2B,구글_검색,global,경쟁사_키워드,5520,57,58806,2
2026-05-03,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_검색광고,domestic,브랜드_키워드,8907,71,63308,3
2026-05-03,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_검색광고,domestic,일반_키워드,6130,50,41114,2
2026-05-03,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_검색광고,domestic,경쟁사_키워드,8743,87,80517,3
2026-05-03,ADV-ADOBE,Adobe Creative Cloud B2B,메타_리드,global,리드폼_A,10161,95,91990,3
2026-05-03,ADV-ADOBE,Adobe Creative Cloud B2B,메타_리드,global,리드폼_B,12313,95,81557,3
2026-05-03,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_GFA,domestic,리타겟팅,6897,67,54022,2
2026-05-03,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_GFA,domestic,관심사_타겟,11119,113,92379,4
2026-05-04,ADV-ADOBE,Adobe Creative Cloud B2B,구글_검색,global,브랜드_키워드,24038,196,185003,10
2026-05-04,ADV-ADOBE,Adobe Creative Cloud B2B,구글_검색,global,솔루션_키워드,9888,87,73276,3
2026-05-04,ADV-ADOBE,Adobe Creative Cloud B2B,구글_검색,global,경쟁사_키워드,23548,242,209210,12
2026-05-04,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_검색광고,domestic,브랜드_키워드,24753,256,215094,11
2026-05-04,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_검색광고,domestic,일반_키워드,11935,92,78101,4
2026-05-04,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_검색광고,domestic,경쟁사_키워드,16736,138,119690,6
2026-05-04,ADV-ADOBE,Adobe Creative Cloud B2B,메타_리드,global,리드폼_A,14075,128,108120,6
2026-05-04,ADV-ADOBE,Adobe Creative Cloud B2B,메타_리드,global,리드폼_B,36047,354,299198,18
2026-05-04,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_GFA,domestic,리타겟팅,22458,227,206890,8
2026-05-04,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_GFA,domestic,관심사_타겟,13346,119,111466,4
2026-05-05,ADV-ADOBE,Adobe Creative Cloud B2B,구글_검색,global,브랜드_키워드,15836,161,137243,6
2026-05-05,ADV-ADOBE,Adobe Creative Cloud B2B,구글_검색,global,솔루션_키워드,19349,159,162471,6
2026-05-05,ADV-ADOBE,Adobe Creative Cloud B2B,구글_검색,global,경쟁사_키워드,22826,187,191141,8
2026-05-05,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_검색광고,domestic,브랜드_키워드,8707,89,71751,4
2026-05-05,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_검색광고,domestic,일반_키워드,20934,164,149911,8
2026-05-05,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_검색광고,domestic,경쟁사_키워드,31280,248,203703,12
2026-05-05,ADV-ADOBE,Adobe Creative Cloud B2B,메타_리드,global,리드폼_A,23195,228,197355,9
2026-05-05,ADV-ADOBE,Adobe Creative Cloud B2B,메타_리드,global,리드폼_B,26116,234,207956,9
2026-05-05,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_GFA,domestic,리타겟팅,29074,251,196237,9
2026-05-05,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_GFA,domestic,관심사_타겟,13049,134,115389,5
2026-05-06,ADV-ADOBE,Adobe Creative Cloud B2B,구글_검색,global,브랜드_키워드,20118,159,152935,6
2026-05-06,ADV-ADOBE,Adobe Creative Cloud B2B,구글_검색,global,솔루션_키워드,22473,231,204713,12
2026-05-06,ADV-ADOBE,Adobe Creative Cloud B2B,구글_검색,global,경쟁사_키워드,15511,137,119230,4
2026-05-06,ADV-ADOBE,Adobe Creative Cloud B2B,네이버_검색광고,domestic,브랜드_키워드,15858,162,127019,8
